id,name
anse,Andreas Sentker
ard,Erstes Deutsches Fernsehen
bild,BILD
bo,Bei Olli
chg,Circus HalliGalli
dgea,Die Geschichte eines Abends
dhss,Die Harald Schmidt Show
dn,Dieter Nuhr
doma,Zeit Gesundheitsmagazin
dsui,Die Schule und ich
e,Das Erste
ef,Elf Freunde
el,Eins Live
fl,Felix Lobrecht
ftv,Florida TV
fuf,Fest und Flauschig
gh,Gemischtes Hack
hr,Hessischer Rundfunk
jb,Jan Böhmermann
jgk,Joko gegen Klaas  Die härtesten Duelle um die Welt
jkoj,Joko und Klaas mit Olli und Jan
jl,Jakob Lundt
kcn,Köln Comedy Nacht
khu,Klaas Heufer Umlauf
kt,Kölner Treff
lm,Luke Mockridge
lnb,Late Night Berlin
mdr,Mitteldeutscher Rundfunk
lol,Last One Laughing
ndr,Norddeutscher Rundfunk
ndrf,NDR Fernsehen
ndrt,NDR Talkshow
neom,Neo Magazin
neomr,Neo Magazin Royale
neop,Neo Paradise
nyt,New York Times
os,Olli Schulz
pks,Pierre M Krause Show
pros,Prosieben
pt,Pussy Terror
qcc,Quatsch Comedy Club
rb,Radio Bremen
re,Radio eins
rn,Ruhr Nachrichten
rtlii,RTL ZWEI
rub,Roche und Böhmermann
sarü,Sabine Rückert
sati,Sat Eins
sidb,Schulz in der Box
sky,Sky
ss,Studio Schmitt
ster,Stern
strä,Sträter
stuze,Stuttgarter Zeitung
sub,Schulz und Böhmermann
sus,Sanft und Sorgfältig
swäta,Schwäbisches Tagblatt
sz,Spasszone
tagze,Die Tageszeitung
taz,TAZ Die Tageszeitung
ts,Thomas Tommi Schmitt
tsb,Thomas Schmitt Baywatch
tvt,TV Total
upfarr,Unter Pfarrerstöchtern Zeit
viva,ViVa
wdr,Westdeutscher Rundfunk
we,Würzburg erleben
woze,Die Wochenzeitung ZEIT
wwds,Wer weiß denn sowas
www,World Wide Wohnzimmer
yt,Youtube
zdf,Zweites Deutsches Fernsehen
zdfk,ZDFkultur
zdfmr,ZDF Magazin Royale
zdfn,ZDFneo
zedo,Zeit Dossier
zeit,DIE ZEIT
zeve,Zeit Verbrechen
zewi,Zeit Wissen
zf,Zimmer frei Fernsehshow
